category_list,funding_total_usd,status,country_code,city,funding_rounds,first_funding_at,last_funding_at,founded_year,status_class,fail,operating,success
Software,,closed,USA,San Francisco,2,2012-06-10,2015-02-10,2009,fail,1,0,0
Mobile,1235000.0,operating,USA,Los Angeles,3,2009-12-31,2013-01-01,2010,operating,0,1,0
Distributors|Hardware|Information Technology,,operating,POL,Warszawa,1,2007-01-01,2007-01-01,2012,operating,0,1,0
Advertising|Internet Marketing|Local|Mobile|Sales and Marketing|Search|SEO|Social Media|Web Presence Management,3517205.0,operating,USA,Potomac,2,2011-11-01,2014-04-22,2012,operating,0,1,0
Enterprise Software|Information Technology|Services,10000000.0,acquired,USA,San Francisco,2,2002-08-06,2004-11-02,2012,success,0,0,1
Software,,operating,USA,San Francisco,2,2013-07-23,2015-01-15,2004,operating,0,1,0
Content|Emerging Markets|Hardware + Software|Mobile,,operating,NGA,Ikeja,1,2014-01-16,2014-01-16,2012,operating,0,1,0
Messaging|Mobile|Networking,50000.0,operating,SGP,Singapore,1,2010-01-01,2010-01-01,2011,operating,0,1,0
Retail,16000000.0,operating,USA,Austin,1,2015-08-06,2015-08-06,2009,operating,0,1,0
Software,,closed,USA,San Francisco,1,2013-04-01,2013-04-01,2009,fail,1,0,0
Banking,13500000.0,operating,USA,Mount Dora,1,2015-02-12,2015-02-12,2009,operating,0,1,0
Android|Audio|Cloud-Based Music|Computers|Digital Entertainment|Digital Media|iPad|iPhone|Mac|Mobile|Music|Music Services|Software|Technology|Video Streaming,460000.0,operating,USA,Santa Monica,2,2013-07-01,2013-09-12,2013,operating,0,1,0
mHealth|Mobile,769131.0,operating,GBR,Cambridge,5,2012-05-01,2014-07-09,2012,operating,0,1,0
Application Platforms|Internet|Web Development,2700000.0,acquired,USA,San Francisco,1,2013-07-19,2013-07-19,2009,success,0,0,1
Semiconductors,,operating,CHN,Chengdu,1,2014-03-01,2014-03-01,2012,operating,0,1,0
Kids|Mothers|Parenting,1500000.0,operating,IND,Madhapur,1,2007-01-05,2007-01-05,2014,operating,0,1,0
Clean Technology,67400000.0,operating,USA,Madison,2,2007-09-07,2010-06-08,2002,operating,0,1,0
CRM|Enterprise Software|Predictive Analytics,35000000.0,operating,USA,Palo Alto,2,2013-04-23,2014-12-11,2010,operating,0,1,0
Facebook Applications|Game Mechanics|Games|Social Games|Social Network Media,5900000.0,acquired,USA,Los Angeles,2,2010-03-10,2010-11-29,2010,success,0,0,1
Public Relations,109000000.0,closed,USA,Livermore,5,2001-06-05,2007-12-04,1999,fail,1,0,0
Software,3000000.0,closed,USA,San Francisco,1,2003-04-10,2003-04-10,2012,fail,1,0,0
E-Commerce,40000.0,operating,CHL,Santiago,1,2013-11-20,2013-11-20,2012,operating,0,1,0
Language Learning|Online Education|Training,42183.0,operating,USA,San Francisco,1,2014-08-01,2014-08-01,2013,operating,0,1,0
Commercial Real Estate|Real Estate|Real Estate Investors,18000000.0,ipo,USA,Virginia Beach,1,2014-09-18,2014-09-18,2012,success,0,0,1
Biotechnology,13456610.0,operating,GBR,Bristol,1,2015-09-29,2015-09-29,2002,operating,0,1,0
Clean Technology,,operating,USA,Santa Fe,1,2014-05-19,2014-05-19,2006,operating,0,1,0
Networking,,operating,USA,Los Angeles,1,2011-07-23,2011-07-23,2011,operating,0,1,0
Health Care|Senior Health,,operating,USA,Cambridge,1,2012-07-19,2012-07-19,2012,operating,0,1,0
Education,688000.0,operating,IND,Nasrapur,1,2007-03-20,2007-03-20,2004,operating,0,1,0
Advertising,4000000.0,closed,CAN,Charlottetown,2,2007-09-01,2010-06-26,2007,fail,1,0,0
Biotechnology|Medical|Therapeutics,116185.0,operating,GBR,London,1,2013-02-18,2013-02-18,2009,operating,0,1,0
Software,,operating,USA,Houston,1,2012-02-19,2012-02-19,2011,operating,0,1,0
Consumer Goods|Leisure|Sports,2652724.0,operating,GBR,San Francisco,1,2005-11-01,2005-11-01,2012,operating,0,1,0
Finance|Mobile,118000.0,operating,USA,Seattle,1,2013-08-05,2013-08-05,2012,operating,0,1,0
Software,9000000.0,operating,USA,Cambridge,1,2006-08-08,2006-08-08,1994,operating,0,1,0
Clean Technology,144000000.0,operating,PHL,Muntinlupa City,2,2013-06-03,2013-07-02,1899,operating,0,1,0
E-Commerce|Gift Card|Registrars|Retail|Weddings,6800000.0,operating,USA,Columbus,3,2013-07-29,2015-10-01,2011,operating,0,1,0
Biotechnology|Health Diagnostics,268990356.0,operating,USA,Palo Alto,9,2006-07-21,2015-07-03,2004,operating,0,1,0
Sales Automation,1820000.0,operating,USA,San Francisco,2,2014-07-16,2015-07-30,2014,operating,0,1,0
Mobile,725609.0,operating,ITA,Rende,2,2014-05-30,2015-09-13,2012,operating,0,1,0
Software|Storage,12000000.0,acquired,USA,San Francisco,2,2006-01-01,2008-07-30,2002,success,0,0,1
Dental|Health Care,110000000.0,operating,CHN,Beijing,3,2010-03-01,2014-04-19,2012,operating,0,1,0
Sports,2950000.0,acquired,GBR,London,1,2008-02-25,2008-02-25,2001,success,0,0,1
Architecture|Construction|Mobile,250000.0,operating,USA,Hyattsville,1,2015-04-28,2015-04-28,2012,operating,0,1,0
Biotechnology,10786338.0,acquired,USA,Mclean,1,2009-04-07,2009-04-07,2012,success,0,0,1
Biotechnology,138581610.0,operating,USA,Broomfield,5,2004-09-16,2013-10-25,2001,operating,0,1,0
Semiconductors,8000000.0,operating,ISR,Netanya,1,2008-12-15,2008-12-15,2008,operating,0,1,0
Payments|SEO|Social Media|Sports|Startups|Technology,20000.0,operating,USA,Plainfield,1,2011-07-08,2011-07-08,2010,operating,0,1,0
Software,1200000.0,operating,USA,Encinitas,1,2012-10-16,2012-10-16,2012,operating,0,1,0
Digital Entertainment|Mobile Commerce|Ticketing,270000.0,operating,ITA,Milano,1,2014-05-21,2014-05-21,2013,operating,0,1,0
Apps|Banking|Finance|Lifestyle|Mobile,11500000.0,operating,CHE,Zürich,2,2013-05-15,2013-09-10,2012,operating,0,1,0
Hospitals|Software,,operating,USA,Panama City,1,2015-01-27,2015-01-27,2014,operating,0,1,0
Security,6100000.0,operating,ITA,Brescia,1,2012-07-22,2012-07-22,2012,operating,0,1,0
Audio|Graphics|Video,,operating,USA,San Francisco,1,1999-03-01,1999-03-01,2012,operating,0,1,0
Apps|Software,75000.0,closed,USA,San Francisco,1,2015-08-18,2015-08-18,2014,fail,1,0,0
Software,500000.0,operating,USA,San Francisco,1,2009-01-13,2009-01-13,2012,operating,0,1,0
Education|Software,,operating,USA,Siler City,1,2011-09-01,2011-09-01,2011,operating,0,1,0
Sports|Technology|Wearables,1000000.0,operating,CAN,Kitchener,1,2015-01-15,2015-01-15,2013,operating,0,1,0
Public Transportation|Search|Social Media|Training|Transportation|Travel,40000.0,closed,SGP,Singapore,1,2010-09-21,2010-09-21,2010,fail,1,0,0
Education|Internet|Teachers|Tutoring|Video,500000.0,operating,USA,New York,1,2012-07-01,2012-07-01,2012,operating,0,1,0
Messaging,32350000.0,operating,USA,New York,3,2009-12-11,2014-04-15,2008,operating,0,1,0
Brand Marketing|Market Research|Mobile Advertising|Public Relations,1070000.0,operating,GBR,London,1,2015-10-27,2015-10-27,2013,operating,0,1,0
Software,,closed,IND,Bangalore,1,2009-08-13,2009-08-13,2007,fail,1,0,0
Hardware + Software,,acquired,CAN,San Francisco,1,2011-01-13,2011-01-13,2012,success,0,0,1
Health and Wellness|Internet|Technology,,operating,BRA,Pedro Leopoldo,1,2011-01-01,2011-01-01,2012,operating,0,1,0
Clinical Trials|Internet|Optimization,215000.0,operating,USA,New York,1,2014-01-12,2014-01-12,2010,operating,0,1,0
Advertising,1507400.0,closed,ITA,Milan,1,2008-08-10,2008-08-10,2012,fail,1,0,0
Software,1350000.0,operating,USA,Westminster,1,2011-11-22,2011-11-22,2012,operating,0,1,0
Media|News,70000.0,operating,CAN,Kelowna,1,2014-11-22,2014-11-22,2014,operating,0,1,0
Manufacturing,1150000.0,operating,USA,Houston,2,2015-06-26,2015-10-23,2014,operating,0,1,0
Analytics|Curated Web|Digital Media|Social Media,1600000.0,operating,HKG,Hong Kong,1,2015-02-17,2015-02-17,2013,operating,0,1,0
Digital Media|E-Commerce|Education|Media,27550000.0,operating,USA,San Francisco,3,2012-04-30,2015-06-09,2011,operating,0,1,0
Clean Technology,6800000.0,operating,AUS,Western Junction,1,2014-02-16,2014-02-16,2003,operating,0,1,0
Analytics|Business Analytics|Social CRM|Social Media Monitoring|Software,90000000.0,operating,USA,Redwood City,1,2014-05-14,2014-05-14,2000,operating,0,1,0
Biotechnology,40500000.0,operating,USA,Valencia,1,2010-02-02,2010-02-02,2012,operating,0,1,0
Entertainment|Games,,operating,USA,Pontiac,1,2014-05-23,2014-05-23,2014,operating,0,1,0
Curated Web,1000000.0,operating,USA,Broomfield,2,2014-02-21,2015-05-27,2009,operating,0,1,0
Construction|Enterprises|Mobile|SaaS,12635000.0,operating,USA,New York,4,2011-12-01,2014-05-08,2011,operating,0,1,0
Curated Web|E-Commerce|Online Shopping|Social Media,230000.0,operating,USA,El Segundo,2,2012-12-31,2014-02-10,2011,operating,0,1,0
Hardware + Software,2600000.0,operating,PRT,Porto,1,2013-10-22,2013-10-22,2007,operating,0,1,0
Financial Services|Mobile Commerce|Personal Finance,,operating,USA,Mountain View,1,2012-02-09,2012-02-09,2012,operating,0,1,0
E-Commerce|Marketplaces,100000000.0,operating,USA,San Francisco,5,2010-03-15,2014-10-21,2009,operating,0,1,0
Advertising|Advertising Platforms|Internet Marketing,,operating,ARG,Buenos Aires,1,2014-09-01,2014-09-01,2013,operating,0,1,0
